rate_date,id,currency_code,rate
2020-01-02,145435,USD,3.800000
2020-01-03,145436,USD,3.821300
2020-01-07,145437,USD,3.786100
2020-01-08,145438,USD,3.812300
2020-01-09,145439,USD,3.825100
2020-01-10,145440,USD,3.827200
2020-01-13,145441,USD,3.810100
2020-01-14,145442,USD,3.801900
2020-01-15,145443,USD,3.799200
2020-01-16,145444,USD,3.796800
2020-01-17,145445,USD,3.805300
2020-01-20,145446,USD,3.827700
2020-01-21,145447,USD,3.828400
2020-01-22,145448,USD,3.820200
2020-01-23,145449,USD,3.830800
2020-01-24,145450,USD,3.847500
2020-01-27,145451,USD,3.872500
2020-01-28,145452,USD,3.884400
2020-01-29,145453,USD,3.887100
2020-01-30,145454,USD,3.885600
2020-01-31,145455,USD,3.899900
2020-02-03,145456,USD,3.886400
2020-02-04,145457,USD,3.877300
2020-02-05,145458,USD,3.865400
2020-02-06,145459,USD,3.867200
2020-02-07,145460,USD,3.894700
2020-02-10,145461,USD,3.899600
2020-02-11,145462,USD,3.904100
2020-02-12,145463,USD,3.901000
2020-02-13,145464,USD,3.910400
2020-02-14,145465,USD,3.909800
2020-02-17,145466,USD,3.918900
2020-02-18,145467,USD,3.944800
2020-02-19,145468,USD,3.955600
2020-02-20,145469,USD,3.962100
2020-02-21,145470,USD,3.962300
2020-02-24,145471,USD,3.977200
2020-02-25,145472,USD,3.962400
2020-02-26,145473,USD,3.957300
2020-02-27,145474,USD,3.941300
2020-02-28,145475,USD,3.925500
2020-03-02,145476,USD,3.902300
2020-03-03,145477,USD,3.880400
2020-03-04,145478,USD,3.853600
2020-03-05,145479,USD,3.847900
2020-03-06,145480,USD,3.823100
2020-03-09,145481,USD,3.789900
2020-03-10,145482,USD,3.805800
2020-03-11,145483,USD,3.818600
2020-03-12,145484,USD,3.864200
2020-03-13,145485,USD,3.906700
2020-03-16,145486,USD,3.923100
2020-03-17,145487,USD,4.046000
2020-03-18,145488,USD,4.074900
2020-03-19,145489,USD,4.242100
2020-03-20,145490,USD,4.240000
2020-03-23,145491,USD,4.265400
2020-03-24,145492,USD,4.242100
2020-03-25,145493,USD,4.222000
2020-03-26,145494,USD,4.198800
2020-03-27,145495,USD,4.112700
2020-03-30,145496,USD,4.093300
2020-03-31,145497,USD,4.146600
2020-04-01,145498,USD,4.170100
2020-04-02,145499,USD,4.191700
2020-04-03,145500,USD,4.239600
2020-04-06,145501,USD,4.225700
2020-04-07,145502,USD,4.171700
2020-04-08,145503,USD,4.180100
2020-04-09,145504,USD,4.174400
2020-04-10,145505,USD,4.156600
2020-04-14,145506,USD,4.166600
2020-04-15,145507,USD,4.151900
2020-04-16,145508,USD,4.163100
2020-04-17,145509,USD,4.188600
2020-04-20,145510,USD,4.152500
2020-04-21,145511,USD,4.177900
2020-04-22,145512,USD,4.173600
2020-04-23,145513,USD,4.209300
2020-04-24,145514,USD,4.214200
2020-04-27,145515,USD,4.169600
2020-04-28,145516,USD,4.184000
2020-04-29,145517,USD,4.180700
2020-04-30,145518,USD,4.172900
2020-05-04,145519,USD,4.164600
2020-05-05,145520,USD,4.192700
2020-05-06,145521,USD,4.202200
2020-05-07,145522,USD,4.216200
2020-05-08,145523,USD,4.206500
2020-05-11,145524,USD,4.212600
2020-05-12,145525,USD,4.209500
2020-05-13,145526,USD,4.211100
2020-05-14,145527,USD,4.226900
2020-05-15,145528,USD,4.213500
2020-05-18,145529,USD,4.222400
2020-05-19,145530,USD,4.164500
2020-05-20,145531,USD,4.161900
2020-05-21,145532,USD,4.134600
2020-05-22,145533,USD,4.150300
2020-05-25,145534,USD,4.142800
2020-05-26,145535,USD,4.088500
2020-05-27,145536,USD,4.050400
2020-05-28,145537,USD,4.024400
2020-05-29,145538,USD,4.003100
2020-06-01,145539,USD,3.968000
2020-06-02,145540,USD,3.930300
2020-06-03,145541,USD,3.912100
2020-06-04,145542,USD,3.957300
2020-06-05,145543,USD,3.921700
2020-06-08,145544,USD,3.919700
2020-06-09,145545,USD,3.945300
2020-06-10,145546,USD,3.918000
2020-06-12,145547,USD,3.929900
2020-06-15,145548,USD,3.941300
2020-06-16,145549,USD,3.905800
2020-06-17,145550,USD,3.953200
2020-06-18,145551,USD,3.958900
2020-06-19,145552,USD,3.974100
2020-06-22,145553,USD,3.966700
2020-06-23,145554,USD,3.931100
2020-06-24,145555,USD,3.939500
2020-06-25,145556,USD,3.962300
2020-06-26,145557,USD,3.969700
2020-06-29,145558,USD,3.965600
2020-06-30,145559,USD,3.980600
2020-07-01,145560,USD,3.959100
2020-07-02,145561,USD,3.952800
2020-07-03,145562,USD,3.976400
2020-07-06,145563,USD,3.958800
2020-07-07,145564,USD,3.968900
2020-07-08,145565,USD,3.966600
2020-07-09,145566,USD,3.948600
2020-07-10,145567,USD,3.964600
2020-07-13,145568,USD,3.956400
2020-07-14,145569,USD,3.957000
2020-07-15,145570,USD,3.911700
2020-07-16,145571,USD,3.942200
2020-07-17,145572,USD,3.926300
2020-07-20,145573,USD,3.899700
2020-07-21,145574,USD,3.881200
2020-07-22,145575,USD,3.853400
2020-07-23,145576,USD,3.806000
2020-07-24,145577,USD,3.802900
2020-07-27,145578,USD,3.764300
2020-07-28,145579,USD,3.753200
2020-07-29,145580,USD,3.761000
2020-07-30,145581,USD,3.754900
2020-07-31,145582,USD,3.716600
2020-08-03,145583,USD,3.749900
2020-08-04,145584,USD,3.736400
2020-08-05,145585,USD,3.714300
2020-08-06,145586,USD,3.724000
2020-08-07,145587,USD,3.730200
2020-08-10,145588,USD,3.739300
2020-08-11,145589,USD,3.739000
2020-08-12,145590,USD,3.755800
2020-08-13,145591,USD,3.717600
2020-08-14,145592,USD,3.722700
2020-08-17,145593,USD,3.707600
2020-08-18,145594,USD,3.689500
2020-08-19,145595,USD,3.673200
2020-08-20,145596,USD,3.716400
2020-08-21,145597,USD,3.716400
2020-08-24,145598,USD,3.727300
2020-08-25,145599,USD,3.714400
2020-08-26,145600,USD,3.726900
2020-08-27,145601,USD,3.728600
2020-08-28,145602,USD,3.698300
2020-08-31,145603,USD,3.692400
2020-09-01,145604,USD,3.670700
2020-09-02,145605,USD,3.719100
2020-09-03,145606,USD,3.733700
2020-09-04,145607,USD,3.753300
2020-09-07,145608,USD,3.766600
2020-09-08,145609,USD,3.765200
2020-09-09,145610,USD,3.787100
2020-09-10,145611,USD,3.761000
2020-09-11,145612,USD,3.753400
2020-09-14,145613,USD,3.752200
2020-09-15,145614,USD,3.744500
2020-09-16,145615,USD,3.752600
2020-09-17,145616,USD,3.771300
2020-09-18,145617,USD,3.758500
2020-09-21,145618,USD,3.796300
2020-09-22,145619,USD,3.835900
2020-09-23,145620,USD,3.839900
2020-09-24,145621,USD,3.883300
2020-09-25,145622,USD,3.901600
2020-09-28,145623,USD,3.908300
2020-09-29,145624,USD,3.922800
2020-09-30,145625,USD,3.865800
2020-10-01,145626,USD,3.851300
2020-10-02,145627,USD,3.836600
2020-10-05,145628,USD,3.825200
2020-10-06,145629,USD,3.818000
2020-10-07,145630,USD,3.812600
2020-10-08,145631,USD,3.817500
2020-10-09,145632,USD,3.791300
2020-10-12,145633,USD,3.792700
2020-10-13,145634,USD,3.793200
2020-10-14,145635,USD,3.830100
2020-10-15,145636,USD,3.890400
2020-10-16,145637,USD,3.897600
2020-10-19,145638,USD,3.876100
2020-10-20,145639,USD,3.892600
2020-10-21,145640,USD,3.870600
2020-10-22,145641,USD,3.873400
2020-10-23,145642,USD,3.866500
2020-10-26,145643,USD,3.875900
2020-10-27,145644,USD,3.886000
2020-10-28,145645,USD,3.931300
2020-10-29,145646,USD,3.950500
2020-10-30,145647,USD,3.956300
2020-11-02,145648,USD,3.955700
2020-11-03,145649,USD,3.906900
2020-11-04,145650,USD,3.899600
2020-11-05,145651,USD,3.835300
2020-11-06,145652,USD,3.819400
2020-11-09,145653,USD,3.778700
2020-11-10,145654,USD,3.816800
2020-11-12,145655,USD,3.799500
2020-11-13,145656,USD,3.801500
2020-11-16,145657,USD,3.778200
2020-11-17,145658,USD,3.787700
2020-11-18,145659,USD,3.762100
